Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Type
Petit Jaug Margaux 2012,France,Margaux,Clos du Jaugueyron,3.9,123,25,2012,Red
Alentejano Reserva Tinto 2016,Portugal,Alentejano,Herdade dos Grous,4.3,123,37.9,2016,Red
Haut-Médoc 2005,France,Haut-Médoc,Château Tour du Haut Moulin,3.7,123,27.95,2005,Red
Odé d'Aydie Madiran 2016,France,Madiran,Château d'Aydie,3.7,123,12.9,2016,Red
Instinct Parcellaire Côtes de Provence 2015,France,Côtes de Provence,Château des Bormettes,3.7,123,21.93,2015,Red
Rosso di Montalcino Banditella 2016,Italy,Rosso di Montalcino,Col d'Orcia,3.8,123,18.5,2016,Red
Eremo San Quirico 2016,Italy,Irpinia Campi Taurasini,Nativ,4.2,1232,17.45,2016,Red
Rioja Reserva 2009,Spain,Rioja,Luis Cañas,3.9,1233,34.99,2009,Red
De Chiripa 2017,Spain,Ribera del Duero,Valderiz,3.6,124,15.27,2017,Red
Colección Crianza 2013,Spain,Navarra,Castillo de Enériz,4.1,124,12.3,2013,Red
Leradici Barbera d'Asti 2018,Italy,Barbera d'Asti,Mauro Molino,4,124,15.47,2018,Red
Merlot 2017,Israel,Galilee,Gamla,3.9,124,15.05,2017,Red
Barolo Pajana 2011,Italy,Barolo,Domenico Clerico,4.2,124,63.92,2011,Red
Al-Muvedre Tinto Monastrell 2018,Spain,Alicante,Telmo Rodriguez,3.6,124,6.95,2018,Red
Geremia Toscana 2013,Italy,Toscana,Rocca di Montegrossi,4.1,124,29.95,2013,Red
Margaux (Grand Cru Classé) 2017,France,Margaux,Château Giscours,3.8,124,70.19,2017,Red
Saint-Estèphe 2016,France,Saint-Estèphe,Château Le Crock,4,124,38.25,2016,Red
Monopole 'Clos des Langres' Rouge 2014,France,Côte de Nuits Villages,Ardhuy,4.2,124,35.5,2014,Red
Barolo Brunate 2011,Italy,Barolo,Vietti,4.4,124,144.53,2011,Red
The Long Walk Shiraz 2018,South Africa,Western Cape,Footprint,3.5,124,6.5,2018,Red
Cabernet Sauvignon 2015,South Africa,Stellenbosch,Zevenwacht,3.8,124,13.82,2015,Red
País 2015,Chile,Itata Valley,Viña La Causa,3.8,124,11.55,2015,Red
Rouge 2015,France,Gard,Roc d'Anglade,3.9,124,36.46,2015,Red
La Napoleon Beaujolais Villages 2017,France,Beaujolais-Villages,Clotaire Michal,3.8,124,35,2017,Red
Vi de Vila Gratallops 2017,Spain,Priorat,Álvaro Palacios,4.3,124,47.95,2017,Red
Shiraz 2017,Australia,McLaren Vale,Jim Jim,3.4,124,11.6,2017,Red
Domaine De Cigalus Red 2018,France,Vin de Pays,Gérard Bertrand,4.1,124,32.75,2018,Red
Reserva Malbec 2017,Argentina,Patagonia,Bodega del Fin del Mundo,3.8,1242,13.69,2017,Red
Haut-Médoc 2012,France,Haut-Médoc,Château Sociando-Mallet,4,1243,52.35,2012,Red
Tempranillo 2018,Spain,Rioja,Dinastía Manzanos,3.7,1246,5.43,2018,Red
Primitivo Salento Pilùna 2018,Italy,Salento,Castello Monaci,4,1247,6.9,2018,Red
Koonunga Hill Shiraz - Cabernet 2018,Australia,South Australia,Penfolds,3.7,1249,10.6,2018,Red
Adénzia Rosso 2016,Italy,Sicilia,Baglio del Cristo di Campobello,4,125,13.4,2016,Red
Chianti Classico 2017,Italy,Chianti Classico,Dievole,3.6,125,16.9,2017,Red
Memorious Pinot Noir 2016,United States of America,Sta. Rita Hills,Domaine de la Côte,4,125,54,2016,Red
Batonnage (Red Scorpion) 2016,Austria,Niederösterreich,Scheiblhofer,4.4,125,149,2016,Red
l'Equilibre 2016,France,Languedoc-Roussillon,Villa Symposia,3.7,125,8.72,2016,Red
Rouge (Estate Reserve) 2011,South Africa,Stellenbosch,Morgenster Estate,4.2,125,36.5,2011,Red
Alàuda 2015,Italy,Toscana,Ruffino,4.5,125,106.89,2015,Red
Parcela 12 Graciano 2016,Spain,Castilla,Finca Constancia,3.8,125,8.99,2016,Red
Copertino 2016,Italy,Copertino,Doppio Passo,4.1,125,8.77,2016,Red
Le Different de Chateau de Ferrand Saint Emilion Grand Cru 2015,France,Saint-Émilion Grand Cru,Château de Ferrand,4.1,125,21,2015,Red
Haut-Médoc 2015,France,Haut-Médoc,Château d'Aurilhac,3.6,125,13.5,2015,Red
Caroso Montepulciano d'Abruzzo Riserva 2015,Italy,Montepulciano d'Abruzzo,Citra,3.9,125,13.55,2015,Red
Ermitage Le Pavillon 2000,France,Hermitage,M. Chapoutier,4.6,125,419.95,2000,Red
Matallana 2010,Spain,Ribera del Duero,Telmo Rodriguez,4,125,81.95,2010,Red
Alfredo Dried Grape Shiraz 2016,Australia,South Australia,Nugan,3.8,125,22.59,2016,Red
Rocche di Castiglione Barolo 2011,Italy,Barolo,Brovia,4.2,125,66.45,2011,Red
Toscano Rosso 2016,Italy,Toscana,Famiglia Castellani,4,125,5.43,2016,Red
Annonce Saint-Émilion Grand Cru 2014,France,Saint-Émilion Grand Cru,Château Belair-Monange,4.1,125,53.61,2014,Red
Messiio Maremma Toscana 2015,Italy,Maremma Toscana,Fertuna,4.1,125,21.24,2015,Red
Tempranillo 2017,Spain,Castilla,Conde Pinel,3.4,125,4.86,2017,Red
Ventoux Artemia 2015,France,Ventoux,Château Pesquie,4,125,32.9,2015,Red
Cabernet Sauvignon 2017,United States of America,California,Wines from Hahn Estate,3.7,1250,19.2,2017,Red
Bourgogne Pinot Noir 2015,France,Bourgogne,Bouchard Père & Fils,3.5,1252,44.59,2015,Red
Tupungato Passo Doble Malbec - Corvina 2009,Argentina,Tupungato,Masi,3.5,1252,13.69,2009,Red
Reserva de Propiedad 2016,Chile,Maipo Valley,Haras de Pirque,3.5,1253,9.99,2016,Red
Saint-Julien (Grand Cru Classé) 2005,France,Saint-Julien,Château Léoville Poyferré,4.4,1254,139.95,2005,Red
Bordeaux Supérieur 2015,France,Bordeaux Supérieur,Château Croix Mouton,3.7,1254,14.57,2015,Red
Chianti Classico 2015,Italy,Chianti Classico,Tenuta Perano,3.8,1255,16.08,2015,Red
Alandra Tinto 2018,Portugal,Alentejo,Esporão,3.3,1258,4.75,2018,Red
Gran Sangre de Toro Reserva 2015,Spain,Catalunya,Torres,3.7,1258,9.9,2015,Red
Rubesco Rosso di Torgiano 2013,Italy,Torgiano,Lungarotti,3.5,1259,11.65,2013,Red
Reserve Cabernet Sauvignon 2014,South Africa,Stellenbosch,Anura,3.9,126,16.6,2014,Red
Les Terroirs Vieux Carignan 2017,France,Hérault,Calmel & Joseph,3.7,126,9.9,2017,Red
Chianti Superiore 2018,Italy,Chianti,Castello del Trebbio,3.8,126,13.33,2018,Red
Casalferro Toscana 2016,Italy,Toscana,Ricasoli,4,126,39.9,2016,Red
Barbera d'Alba Trevigne 2009,Italy,Barbera d'Alba,Domenico Clerico,3.7,126,16.39,2009,Red
Pelagrilli Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Siro Pacenti,4.2,126,51.9,2014,Red
50 & 50 2014,Italy,Toscana,Capannelle,4.3,126,95.7,2014,Red
Wiener Trilogie 2016,Austria,Wien,Wieninger,3.7,126,12.87,2016,Red
Gattinara Tre Vigne 2014,Italy,Gattinara,Travaglini,4.1,126,38.7,2014,Red
Ocra Bolgheri Rosso 2017,Italy,Bolgheri,Tenute Guicciardini Strozzi,3.9,126,21.95,2017,Red
Message in a Bottle Rosso 2018,Italy,Toscana,Tenuta Il Palagio,3.7,126,14.55,2018,Red
Bricco Dei Merli Barbera d'Alba 2015,Italy,Barbera d'Alba,Elvio Cogno,3.8,126,13.95,2015,Red
Lacrima di Morro d'Alba 2018,Italy,Lacrima di Morro d'Alba,Conti di Buscareto,3.4,126,7.58,2018,Red
Coevo Toscana 2013,Italy,Toscana,Cecchi,4.2,126,59.02,2013,Red
Amarone della Valpolicella Case Vecie 2013,Italy,Amarone della Valpolicella Classico,Brigaldara,4,126,36.75,2013,Red
Syrah Sicilia 2018,Italy,Sicilia,Feudo Arancio,3.8,126,6.75,2018,Red
Cabernet Sauvignon 2017,Australia,Riverina,Richland,3.5,126,9.78,2017,Red
Collezione di Famiglia Syrah Terre Siciliane 2018,Italy,Terre Siciliane,Barone Montalto,4.1,126,8.32,2018,Red
Tre 2017,Italy,Toscana,Brancaia,3.6,126,11.5,2017,Red
Haut-Médoc 2010,France,Haut-Médoc,Château Sénéjac,3.7,1262,35.95,2010,Red
Saint-Julien (Grand Cru Classé) 2011,France,Saint-Julien,Château Léoville Poyferré,4.2,1264,109,2011,Red
Plumbago Nero d'Avola Sicilia 2017,Italy,Sicilia,Planeta,3.7,1264,10.5,2017,Red
Chianti Classico Vigneto Gran Selezione San Lorenzo 2013,Italy,Chianti Classico,Castello di Ama,3.9,1265,31.53,2013,Red
Foradori - Teroldego 2015,Italy,Vigneti delle Dolomiti,Foradori,3.8,1269,19.5,2015,Red
Haut-Médoc 2015,France,Haut-Médoc,Château Arnauld,4.1,127,43.39,2015,Red
Réserve Royale Saperavi 2015,Georgia,Kakheti,Mukhrani,4.4,127,32.9,2015,Red
Tinto Reserva 2016,Portugal,Dão,Fonte do Ouro,4,127,11.75,2016,Red
Petit Albet Penedès Rouge 2018,Spain,Penedès,Albet i Noya,3.2,127,7.95,2018,Red
Camelot 2014,Italy,Terre Siciliane,Firriato,4.1,127,29.99,2014,Red
Kaleidoscope 2018,South Africa,Stellenbosch,Kaapzicht,3.3,127,7.9,2018,Red
Syrah 2015,South Africa,Cape Agulhas,Lands End,3.6,127,9.9,2015,Red
Edición Limitada M 2016,Chile,Colchagua Valley,Caliterra,4.1,127,14.57,2016,Red
Kennedy Grenache - Shiraz - Mourvedre 2017,Australia,Barossa Valley,Sons of Eden,3.9,127,26.81,2017,Red
Collio Cabernet Sauvignon 2017,Italy,Collio,Marco Felluga,3.7,127,15.99,2017,Red
Envero Carmenère Gran Reserva 2017,Chile,Colchagua Valley,Apaltagua,3.8,1270,14.5,2017,Red
Casamatta Toscana Rosso 2016,Italy,Toscana,Bibi Graetz,3.5,1270,8.14,2016,Red
Brunello di Montalcino 2012,Italy,Brunello di Montalcino,Fanti,4.2,1270,30.71,2012,Red
Saint-Estèphe (Grand Cru Classé) 2010,France,Saint-Estèphe,Château Lafon-Rochet,4.1,1272,55,2010,Red
The Butcher Cuvée 2017,Austria,Neusiedlersee,Schwarz,3.8,1273,25.5,2017,Red
Saint-Estèphe 2009,France,Saint-Estèphe,Château Haut-Marbuzet,4.3,1274,62.39,2009,Red
The Banished Dark Red 2018,Australia,South Eastern Australia,19 Crimes,4,1274,11.49,2018,Red
Rosso di Montepulciano 2015,Italy,Rosso di Montepulciano,Poliziano,3.7,1274,9.95,2015,Red
Nero d'Avola Terre Siciliane 2017,Italy,Terre Siciliane,Tenuta Rapitalà,3.4,1275,6.75,2017,Red
Cabernet Sauvignon 2016,Chile,Aconcagua Valley,Arboleda,3.9,1275,15.5,2016,Red
Crianza Rioja 2015,Spain,Rioja,Ramón Bilbao,3.8,12778,8.95,2015,Red
Primitivo 2018,Italy,Puglia,Terre di Montelusa,3.8,128,4.9,2018,Red
Reserva Merlot 2016,Chile,Maipo Valley,Santa Rita,3.3,128,9.65,2016,Red
Bricco della Bigotta Barbera d'Asti 2013,Italy,Barbera d'Asti,Braida,4.2,128,45,2013,Red
Cantus Primus Cabernet Sauvignon 2015,Romania,Dealu Mare,Vitis Metamorfosis,3.8,128,18.9,2015,Red
Sassorosso Grumello Valtellina Superiore 2016,Italy,Valtellina Superiore,Nino Negri,3.8,128,16.51,2016,Red
Agneau Rouge Bordeaux 2018,France,Bordeaux,Baron Philippe de Rothschild,3.5,128,6.05,2018,Red
Selkirk Shiraz 2016,Australia,Langhorne Creek,Bremerton,3.9,128,18.03,2016,Red
Finca San Martín Crianza 2016,Spain,Rioja,La Rioja Alta,3.6,128,10.91,2016,Red
Edición Limitada A 2016,Chile,Colchagua Valley,Caliterra,4.1,128,16.5,2016,Red
Crianza 2014,Spain,Toro,Muruve,3.6,128,10.93,2014,Red
Chianti 2015,Italy,Chianti,Principe Strozzi,3.4,128,17.4,2015,Red
Chianti 2018,Italy,Chianti,Castello di Gabbiano,3.5,128,8.25,2018,Red
Spätburgunder 2017,Germany,Pfalz,Rings,3.6,128,11.5,2017,Red
Prados Fusión Garnacha - Syrah 2018,Spain,Campo de Borja,Pagos del Moncayo,3.7,128,9.49,2018,Red
Estate Red (Cabernet Sauvignon - Shiraz) 2016,South Africa,Stellenbosch,Kaapzicht,3.9,128,10.45,2016,Red
Barrel Selection Merlot 2017,Argentina,Uco Valley,Salentein,4,128,13.43,2017,Red
Tempranillo 2018,Spain,Castilla y León,Venta Morales,3.5,128,7.4,2018,Red
Pinot Nero 2017,Italy,Südtirol - Alto Adige,Castel Sallegg,3.5,128,13.95,2017,Red
Dedicato Tannat 2013,Brazil,Serra Gaúcha,Monte Paschoal,3.9,128,15.55,2013,Red
Tortoniano Barolo 2006,Italy,Barolo,Michele Chiarlo,3.9,128,29.19,2006,Red
Iirrésistible Côtes de Provence 2015,France,Côtes de Provence,Domaine de la Croix,3.8,128,29,2015,Red
Diamond Collection/Selection Shiraz 2019,Australia,South Eastern Australia,Rosemount,3.7,128,5.95,2019,Red
Malleolus 2017,Spain,Ribera del Duero,Emilio Moro,4.3,1281,27.05,2017,Red
No Name 2015,Italy,Piemonte,Borgogno,4,1285,25.55,2015,Red
Blacksmith Cabernet Sauvignon 2017,Australia,Barossa,Langmeil,3.9,129,16.9,2017,Red
Ocho y Medio Malbec 2018,Spain,La Mancha,Finca La Estacada,3.6,129,5.49,2018,Red
Riscal Roble Tempranillo 2013,Spain,Castilla y León,Marqués de Riscal,3.4,129,6.39,2013,Red
Pannobile Red 2015,Austria,Burgenland,Paul Achs,3.8,129,29.9,2015,Red
Terra d'Eclano Aglianico Irpinia 2013,Italy,Irpinia,Quintodecimo,4.2,129,43.65,2013,Red
Unico 2010,Spain,Ribera del Duero,Vega Sicilia,4.7,129,320,2010,Red
Allnatt Rouge Souplesse 2018,France,Languedoc,Paul Mas,3.8,129,7.49,2018,Red
Due Rosso 2017,Italy,Veneto,Giannitessari,4,129,9.5,2017,Red
Saint-Émilion Grand Cru 2011,France,Saint-Émilion Grand Cru,Château Guinot,3.4,129,15.9,2011,Red
Graves 2016,France,Graves,Château Haura,3.5,129,17.95,2016,Red
Le Stanze Toscana 2011,Italy,Toscana,Poliziano,4.1,129,33.95,2011,Red
Carmignano Riserva Trefiano 2012,Italy,Carmignano,Capezzana,4,129,34.58,2012,Red
Pessac-Léognan (Grand Cru Classé de Graves) 2013,France,Pessac-Léognan,Château La Mission Haut-Brion,4.3,129,261.25,2013,Red
Bordeaux Supérieur 2011,France,Bordeaux Supérieur,Château Lafite Monteil,3.5,129,9.95,2011,Red
Coto Real Reserva 2005,Spain,Rioja,El Coto,3.8,129,29.19,2005,Red
Liala Negroamaro 2018,Italy,Salento,Masseria Borgo dei Trulli,4.3,129,19.95,2018,Red
Syrah 2017,South Africa,Franschhoek,La Motte Wine Estate,3.9,129,16.95,2017,Red
Fetească Neagră 2017,Romania,Dealu Mare,Vitis Metamorfosis,3.8,129,7.5,2017,Red
Conde de Valdemar Tempranillo 2018,Spain,Rioja,Bodegas Valdemar,3.5,129,5.99,2018,Red
Lou Coucardié Rouge 2014,France,Costières-de-Nîmes,Michel Gassier,4,129,24.09,2014,Red
Zweigelt 2016,Austria,Niederösterreich,Weingut Bründlmayer,3.5,129,10.95,2016,Red
Cabernet Sauvignon 2016,South Africa,Stellenbosch,Neil Ellis,3.8,129,12.9,2016,Red
Pinotage 2014,South Africa,Stellenbosch,Welmoed,3.2,129,8.32,2014,Red
Campogiovanni Brunello di Montalcino 2012,Italy,Brunello di Montalcino,San Felice,4.2,1293,33.85,2012,Red
Barolo 2014,Italy,Barolo,Borgogno,3.9,1295,50.85,2014,Red
V Reserva 2014,Spain,Rioja,Bodegas Faustino,3.7,1296,9.7,2014,Red
Chianti 2017,Italy,Chianti,Ricasoli,3.5,1297,7.85,2017,Red
Terra Romana Fetească Neagră 2016,Romania,Dealu Mare,Serve,3.5,130,10.5,2016,Red
Foundation Pinotage 2018,South Africa,Coastal Region,Nederburg,3.6,130,5.81,2018,Red
Riserva Ducale Oro Chianti Classico (Gran Selezione Gold) 2015,Italy,Chianti Classico,Ruffino,3.9,130,34.99,2015,Red
Langhe Nebbiolo 2017,Italy,Langhe,La Spinetta,3.9,130,18.03,2017,Red
Cellar Selection Carmenère 2018,Chile,Central Valley,Santa Carolina,3.6,130,5.95,2018,Red
Kallista 2013,South Africa,Stellenbosch,Vriesenhof,4.1,130,29.19,2013,Red
4 Meses Red 2017,Spain,La Mancha,Volver,3.7,130,8.38,2017,Red
Cabernet Sauvignon 2016,South Africa,Coastal Region,Fleur du Cap,3.6,130,12.03,2016,Red
Cabernet Sauvignon (1685 series) 2016,South Africa,Stellenbosch,Boschendal,3.7,130,16.99,2016,Red
Cabernet Sauvignon 2015,United States of America,Sonoma Valley,Schug,4,130,38.94,2015,Red
Amarone della Valpolicella Monte Lodoletta 2012,Italy,Amarone della Valpolicella,Dal Forno Romano,4.7,130,270.63,2012,Red
Clos Baltasar 2015,Spain,Calatayud,San Alejandro,3.9,130,13.54,2015,Red
El Viejo 2017,Spain,Toro,Matsu,4.1,130,28.3,2017,Red
Barolo La Serra 2014,Italy,Barolo,Mauro Molino,4.2,130,48.64,2014,Red
The Montelena Estate Cabernet Sauvignon 2001,United States of America,Calistoga,Chateau Montelena,4.4,130,153.9,2001,Red
Seven Flags Pinot Noir 2016,South Africa,Elgin,Paul Cluver,4.3,130,56.74,2016,Red
Arborina Barolo 2013,Italy,Barolo,Elio Altare,4.3,130,77.12,2013,Red
Reserva Special Blend 2016,Argentina,Patagonia,Bodega del Fin del Mundo,4.3,1302,35.89,2016,Red
Carmenère Reserva 2017,Chile,Colchagua Valley,Apaltagua,3.6,1303,10.5,2017,Red
Rioja La Vendimia 2017,Spain,Rioja,Palacios Remondo,3.7,1305,8.87,2017,Red
The Footbolt Shiraz 2016,Australia,McLaren Vale,d'Arenberg,3.6,1307,14.09,2016,Red
Bicicleta Cabernet Sauvignon 2017,Chile,Central Valley,Cono Sur,3.5,1308,6.9,2017,Red
Rosso di Montalcino 2017,Italy,Rosso di Montalcino,Gianni Brunelli,4,131,35.58,2017,Red
La Cumbre Syrah 2014,Chile,Aconcagua Valley,Errazuriz,4.3,131,57.42,2014,Red
Grand Reserve 2015,South Africa,Stellenbosch,Delheim,4,131,25.7,2015,Red
Rosso Piceno 2018,Italy,Rosso Piceno,Azienda Santa Barbara - Stefano Antonucci,3.5,131,7.5,2018,Red
Saint-Joseph Les Capelets 2015,France,Saint-Joseph,Pierre Amadieu,4,131,17.45,2015,Red
Brunello Di Montalcino Riserva 2009,Italy,Brunello di Montalcino,Caparzo,4.3,131,48.02,2009,Red
Eight Songs Shiraz 2013,Australia,Barossa,Peter Lehmann,3.8,131,35.09,2013,Red
Villa Cordevigo Rosso 2012,Italy,Rosso Veronese,Villabella,4.3,131,23.91,2012,Red
Les Terroirs Côtes du Roussillon Villages 2015,France,Côtes du Roussillon Villages,Calmel & Joseph,3.7,131,7.75,2015,Red
Pian delle Mole Langhe Nebbiolo 2016,Italy,Langhe,Giulia Negri,3.8,131,15.5,2016,Red
Blauer Spätburgunder Trocken 2016,Germany,Pfalz,Knipser,3.9,131,11.2,2016,Red
Liaison Pinot Noir 2017,Germany,Baden,Enderle & Moll,3.8,131,19.72,2017,Red
Teroldego Rotaliano Vigilius 2015,Italy,Teroldego Rotaliano,De Vescovi Ulzbach,4.1,131,24.27,2015,Red
Evaluna 2016,Italy,Garda,Sansonina,4,131,16.44,2016,Red
Clancy's Red Blend 2016,Australia,Barossa,Peter Lehmann,3.5,131,12.12,2016,Red
Syrah Pago Garduña 2014,Spain,Castilla y León,Abadia Retuerta,4.2,131,73.11,2014,Red
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2011,France,Saint-Émilion Grand Cru,Château Trotte Vieille,4.1,131,70.19,2011,Red
Aquilae Nero d'Avola 2014,Italy,Sicilia,CVA Canicatti,3.6,131,8.6,2014,Red
Sorì Tildìn (Barbaresco) Langhe 2014,Italy,Langhe,Gaja,4.6,131,470,2014,Red
Cervidoni Rosso Piceno 2016,Italy,Rosso Piceno,Tenuta di Tavignano,3.8,131,7.7,2016,Red
Château d'Ampuis Côte-Rôtie 2016,France,Côte-Rôtie,E. Guigal,3.9,131,99,2016,Red
Single Valley Lot Gran Reserva Syrah 2014,Chile,Colchagua Valley,Valdivieso,3.7,131,14.57,2014,Red
Saperavi - Cabernet 2015,Georgia,Kakheti,Mukhrani,3.9,131,14.9,2015,Red
Châteauneuf-du-Pape 2014,France,Châteauneuf-du-Pape,Château de Beaucastel,4.3,1310,67.26,2014,Red
Douro Tinto 2018,Portugal,Douro,Casal Garcia,3.7,1311,4.89,2018,Red
Pauillac (Grand Cru Classé) 2012,France,Pauillac,Château Lynch-Bages,4.3,1311,106.25,2012,Red
Rara Neagra de Purcari 2018,Moldova,South Eastern,Château Purcari,4.1,1314,10.98,2018,Red
Malbec Argentino 2017,Argentina,Mendoza,Catena Zapata,4.6,1314,77.01,2017,Red
Saint-Julien (Grand Cru Classé) 2005,France,Saint-Julien,Château Gruaud Larose,4.3,1317,94.95,2005,Red
Ebbio Nebbiolo Langhe 2018,Italy,Langhe,Fontanafredda,3.5,1318,14.21,2018,Red
120 Cabernet Sauvignon 2017,Chile,Central Valley,Santa Rita,3.4,1318,7.8,2017,Red
Château Trocard Bordeaux Supérieur 2012,France,Bordeaux Supérieur,Jean-Louis Trocard,3.2,132,9.26,2012,Red
Saint-Émilion Grand Cru 2010,France,Saint-Émilion Grand Cru,Le Dome,4.6,132,399.95,2010,Red
Barolo Riserva Monfortino 2013,Italy,Barolo,Giacomo Conterno,4.8,132,1115.5,2013,Red
Tavkveri 2016,Georgia,Kakheti,Mukhrani,4.1,132,16.9,2016,Red
The Glass Collection Syrah 2014,South Africa,Stellenbosch,Glenelly,3.5,132,11.95,2014,Red
Rouge (Estate Reserve) 2013,South Africa,Stellenbosch,Morgenster Estate,4.1,132,36.5,2013,Red
Primocolle Chianti Classico 2016,Italy,Chianti Classico,Villa Cerna,3.7,132,14.73,2016,Red
Saint-Émilion Grand Cru 2013,France,Saint-Émilion Grand Cru,Château Grand Barrail Lamarzelle Figeac,3.8,132,29.5,2013,Red
Les Crus Terrasses du Larzac 2016,France,Terrasses du Larzac,Calmel & Joseph,3.9,132,12.62,2016,Red
Galantas Gran Reserva Cabernet Franc 2016,Chile,Maipo Valley,Haras de Pirque,3.8,132,28.83,2016,Red
Cabernet Sauvignon 2017,South Africa,Western Cape,Protea,3.3,132,8.95,2017,Red
Preta Cuvée Grande Reserva 2008,Portugal,Alentejano,Fitapreta,4.3,132,35.09,2008,Red
Pinot Fin Bourgogne 2014,France,Bourgogne,Domaine Arnoux-Lachaux,3.6,132,39.69,2014,Red
Musar Jeune Rouge 2016,Lebanon,Bekaa Valley,Château Musar,3.8,1323,10.84,2016,Red
Reserva 2015,Spain,Rioja,Hacienda López de Haro,3.7,1323,9.95,2015,Red
Bolgheri Superiore 2014,Italy,Bolgheri Superiore,Grattamacco,4.1,1325,51.36,2014,Red
Barolo 2015,Italy,Barolo,Elio Altare,4.2,133,62.57,2015,Red
Brunello di Montalcino 2015,Italy,Brunello di Montalcino,Fattoria dei Barbi,4.1,133,32.88,2015,Red
Futures Shiraz 2015,Australia,Barossa,Peter Lehmann,3.8,133,15.03,2015,Red
'Rosso & Bianco' Shiraz 2016,United States of America,California,Francis Ford Coppola,3.8,133,13.25,2016,Red
Quinta Da Gricha Douro 2009,Portugal,Douro,Churchill's,4.6,133,56.84,2009,Red
Barolo Prapò 2010,Italy,Barolo,Ettore Germano,4.2,133,48.4,2010,Red
Rosso di Montepulciano Prugnolo 2018,Italy,Rosso di Montepulciano,Boscarelli,3.7,133,12.9,2018,Red
Zephyrus Shiraz 2017,Australia,Barossa,Sons of Eden,4,133,31.19,2017,Red
Teroldego Rotaliano 2016,Italy,Teroldego Rotaliano,De Vescovi Ulzbach,3.9,133,11.45,2016,Red
Grand Grenache Gigondas 2012,France,Gigondas,Domaine Santa Duc,4,133,45,2012,Red
12 e Mezzo Negroamaro del Salento 2017,Italy,Salento,Varvaglione,3.8,133,7.31,2017,Red
La Bella Addormentata Terre di Chieti Sangiovese 2018,Italy,Terre di Chieti,Gran Sasso,3.6,133,7.32,2018,Red
Twin Oaks Cabernet Sauvignon 2018,United States of America,California,Robert Mondavi,3.2,133,7.69,2018,Red
Cuvée du Chaos Fleurie 2018,France,Fleurie,Les Bertrand,4.2,133,22.62,2018,Red
Limited Release Cabernet Sauvignon 2014,United States of America,Napa Valley,Black Stallion,4,133,106.89,2014,Red
Gries Lagrein Riserva 2017,Italy,Südtirol - Alto Adige,Nals Margreid,4.1,133,19.9,2017,Red
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 1998,France,Saint-Émilion Grand Cru,Château Belair-Monange,4.1,133,96.85,1998,Red
Cortevecchia Riserva Chianti Classico 2015,Italy,Chianti Classico,Principe Corsini,3.9,133,16.99,2015,Red
Le Redini 2015,Italy,Toscana,Tenuta Degli Dei,4,133,20.09,2015,Red
Sangre de Toro Original 2018,Spain,Catalunya,Torres,3.5,1331,6.73,2018,Red
Haut-Médoc 2005,France,Haut-Médoc,Château Sociando-Mallet,4.2,1331,59.95,2005,Red
The Guv’nor 2019,Spain,Valdepeñas,Félix Solís,4,1333,6.2,2019,Red
Gran Reserva Rioja (Tempranillo) 2011,Spain,Rioja,Ramón Bilbao,3.9,1334,18.23,2011,Red
Pinot Noir 2014,New Zealand,Marlborough,Brancott Estate,3.6,1335,9.99,2014,Red
Pauillac (Grand Cru Classé) 2000,France,Pauillac,Château Pichon Baron,4.5,1339,309.9,2000,Red
Selected Vines Malbec (Barrancas Vineyards) 2017,Argentina,Mendoza,Pascual Toso,4,134,15.16,2017,Red
Terralis Shiraz - Malbec 2015,Argentina,Mendoza,Trivento,3.4,134,6.99,2015,Red
Testamatta Toscana 2016,Italy,Toscana,Bibi Graetz,4.2,134,105,2016,Red
Mencia 2014,Spain,Valdeorras,A Portela,3.6,134,11.9,2014,Red
Compleo Cuvée Noire 2018,Switzerland,Zürich,Staatskellerei Zürich,3.9,134,17.06,2018,Red
Pommard 2015,France,Pommard,Bouchard Père & Fils,4,134,48.54,2015,Red
Merlot 2017,South Africa,Stellenbosch,Zonnebloem,3.8,134,8.29,2017,Red
Bordeaux Supérieur 2017,France,Bordeaux Supérieur,Château Le Gardera,3.8,134,8.78,2017,Red
Bandol Rouge 2016,France,Bandol,Gros' Noré,4.1,134,31.9,2016,Red
Barolo Carobric 2006,Italy,Barolo,Paolo Scavino,4.3,134,74.69,2006,Red
Hommage à Jacques Perrin Châteauneuf-du-Pape 2015,France,Châteauneuf-du-Pape,Château de Beaucastel,4.5,134,341.18,2015,Red
Endinger Engelsberg Spätburgunder Trocken 2015,Germany,Baden,Knab,3.7,134,16.95,2015,Red
Cabernet Sauvignon Reserva 2017,Chile,Colchagua Valley,Veramonte,3.5,134,8.5,2017,Red
Saint-Julien (Grand Cru Classé) 2016,France,Saint-Julien,Château Saint-Pierre,4.1,134,82.86,2016,Red
Shiraz 2018,South Africa,Stellenbosch,Guardian Peak,3.5,134,9.9,2018,Red
Poggio alle Mura Brunello di Montalcino 2011,Italy,Brunello di Montalcino,Banfi,4.2,1341,37.73,2011,Red
Estate Cabernet Sauvignon 2016,Australia,Clare Valley,Taylors / Wakefield,3.7,1344,9.5,2016,Red
Hécula Monastrell 2016,Spain,Yecla,Castaño,3.4,1344,8.78,2016,Red
